ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County
90002,138,60,1227,29790,616,4,4,62,0,31901,126,0.4,46159.0,81.1,0.3,0.9,16.6,6.4,54384,531581.32,0.4662,0.6055645223272615,0.6896221551152685,0.30448552699418135,0.12750749365921143,0.2710951526032316,63.27175721323597,6.801309539776207,703.7633897627528,Los Angeles
96057,130,3,91,1286,16,0,0,3,0,1529,6,0.39,43839.0,6.8,85.3,0.0,0.5,22.3,1052,294863.84,0.441,0.2585858585858586,0.7977900552486188,0.08950276243093923,0.08080808080808081,0.10390848427073403,,,,
93304,409,50,1619,27558,484,1,2,67,0,30190,118,0.39,45563.0,71.0,17.0,2.2,7.8,11.4,49647,259867.57,0.4425,0.5759248308036008,0.6970535769207111,0.2449406409546657,0.1153163808397398,0.2609418394859008,53.10673771199744,6.187063465456047,985.8044001560812,Kern 
93267,185,6,332,3781,38,0,1,11,0,4354,17,0.39,38245.0,72.1,26.8,0.2,0.0,7.2,6079,243620.5,0.5277,0.28096017457719585,0.8255693581780539,0.026915113871635612,0.025095471903982543,0.20134890607007733,51.4822316744265,6.68487088668176,301.4248457,Tulare 
93706,512,52,2066,24677,400,0,9,56,0,27772,108,0.39,34147.0,66.2,11.8,7.6,11.5,8.6,41470,238625.19,0.5457,0.6176091993478074,0.7142512853470437,0.23553984575835477,0.13352784690637604,0.4061935672800039,71.76998903688961,7.919915920214184,429.4549800004969,Fresno 
93234,36,2,308,3954,59,0,0,15,0,4374,17,0.39,34429.0,95.3,2.0,0.0,0.8,2.0,6485,237134.42,0.4718,0.7967525195968646,0.4202041912950027,0.49758194519075766,0.22564389697648377,0.4089437162683115,44.811444650083494,5.946140832535624,266.70582393230677,Fresno 
95205,325,38,1843,25983,478,0,5,73,0,28745,111,0.39,48767.0,74.1,10.3,7.4,6.0,4.4,39723,310395.68,0.4518,0.5626455519329296,0.8135724756402518,0.13115460895059067,0.07536096879366558,0.22030529293341147,54.650982912611916,6.332861435050011,804.3670047708431,San Joaquin
95948,645,18,695,8053,161,0,0,19,0,9591,37,0.39,61155.0,38.2,57.1,1.0,0.1,16.2,12010,331419.03,0.4276,0.4323475529965978,0.869383003492433,0.07217694994179279,0.028003140539125882,0.08440846614385698,29.941440658050347,4.959528039597222,200.78523784457278,Butte 
93305,247,31,1137,18277,284,2,0,44,0,20022,77,0.39,34212.0,74.2,16.2,0.8,6.3,8.2,37904,234782.36,0.4569,0.6324478878435713,0.7156678082191781,0.2672945205479452,0.11289429994465966,0.3286544694757708,44.9024316489711,5.102427405335067,422.12470674016924,Kern 
95634,295,5,121,2643,51,0,0,7,0,3122,12,0.38,62569.0,14.6,80.3,2.7,0.2,23.0,4001,407827.89,0.4566,0.13572204125950055,0.8966174368747022,0.008099094807050978,0.010857763300760043,0.10869565217391304,10.5999732674062,3.34080695810154,148.2058279,El Dorado
95987,309,8,418,4651,98,1,0,12,0,5497,21,0.38,77545.0,76.8,21.2,0.9,0.1,14.3,6370,355204.8,0.4498,0.4067343666488509,0.8778588807785888,0.09440389294403893,0.03580972741849278,0.10023866348448687,27.4424171159204,4.69917161908029,176.4637213,Colusa 
95954,383,9,359,5893,160,0,2,17,0,6823,26,0.38,52691.0,12.0,79.3,1.2,0.0,19.8,11234,263282.99,0.4259,0.1925976696367375,0.576271186440678,0.02899734531345722,0.04318026045236463,0.13867831980736645,8.497319845413747,1.4598774258163179,206.54350072858833,Butte 
95365,44,8,179,3139,53,0,0,5,0,3428,13,0.38,38571.0,97.4,2.0,0.0,0.0,4.6,4146,260155.41,0.4153,0.43128390596745025,0.8324197337509789,0.1558339859044636,0.081374321880651,0.39387361312108055,,,,
95422,482,15,692,12038,270,0,2,36,0,13535,51,0.38,38325.0,29.2,58.0,0.8,3.9,7.9,16759,213847.57,0.4435,0.423728813559322,0.6508454106280194,0.10036231884057971,0.09501303780964798,0.26023250181642044,31.476005061924447,3.878129905351189,273.944647330154,Lake 
93638,601,49,2127,31370,533,0,2,81,0,34763,130,0.37,52399.0,80.8,12.7,1.9,2.8,7.5,51669,313386.96,0.4362,0.44558835357516285,0.7751713632901752,0.192003046458492,0.050269444221024695,0.29119763430261214,48.55236886901714,5.844929824942073,703.2874540336571,Madera 
93215,403,41,1902,29061,355,0,2,78,0,31842,119,0.37,47586.0,76.4,5.0,13.1,4.2,6.7,55487,300328.69,0.4369,0.4352297771610481,0.7713166385005377,0.1749884774927024,0.04203738470328953,0.19787143465304385,39.29039948552274,5.467433996556771,492.8903255379771,Kern 
92225,497,19,830,10028,146,0,2,24,1,11547,43,0.37,48102.0,56.7,25.7,2.1,11.3,7.7,21272,219872.41,0.4614,0.3989277204130262,0.5080782871404177,0.15933272034677526,0.09392374900714853,0.23249789974796975,33.00554170045909,4.6670112925529,196.46631468537254,Riverside 
96007,1463,29,1242,15852,419,0,0,41,0,19046,70,0.37,51227.0,14.7,75.5,1.2,0.5,14.8,24666,320668.82,0.4528,0.34844192634560905,0.6356574278315911,0.1739714203510118,0.06379183716294198,0.15848132271892224,19.06491298900631,3.7739488580446032,469.5674879605439,Shasta 
93268,431,14,821,9727,136,0,0,27,0,11156,41,0.37,46827.0,40.1,54.6,1.7,0.7,7.8,18113,185679.78,0.4844,0.5069247455364592,0.7718180471180915,0.12594458438287154,0.11613549140664108,0.3114594098059479,42.81875346799852,5.842091495818822,230.4276619127435,Kern 
95963,1012,27,917,11780,252,0,0,24,0,14012,51,0.36,56627.0,45.5,50.2,1.7,0.1,16.2,16812,372237.2,0.4063,0.33134851138353766,0.7653864695484494,0.08500723123895228,0.04588441330998249,0.12256101199355571,25.50982383922682,4.568374976838979,381.36247864590945,Glenn 
