ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports
94040,201,1501,347,19140,1849,32,2,485,0,23557,2018,8.57,153275.0,16.1,41.0,36.1,1.2,73.7,35800,2382753.31,0.495,0.6201669449081803,0.3532688540646425,0.633692458374143,0.0751252086811352,0.0695830639039613,16.530361645067316,4.83761768114506,1277.6826561112198,Santa Clara,14.0,59.0,51.0,8.0
94506,303,1302,438,16959,1130,21,2,425,0,20580,1748,8.49,223362.0,6.4,56.0,28.6,3.4,73.5,27375,1949979.28,0.4588,0.0977816067197932,0.9519426308466232,0.0480573691533768,0.0217531768253284,0.0584225186922738,2.6050837867969583,2.0312979742825594,872.7689811548508,Contra Costa,0.0,0.0,0.0,0.0
94131,163,959,202,13082,1677,13,2,429,0,16527,1401,8.48,181329.0,11.8,54.9,21.4,4.1,78.6,29437,1483157.03,0.452,0.4591820745847697,0.5269848187695213,0.4701096825742718,0.0984801002820432,0.0528181129997935,5.457405960378188,3.020035238921724,540.6197931737244,San Francisco,0.0,0.0,0.0,0.0
92127,362,2296,703,29022,2292,14,2,668,0,35359,2978,8.42,156464.0,7.7,49.8,31.5,1.3,73.6,50852,1390256.91,0.4446,0.3220818404676598,0.7122377407247893,0.2862240817079923,0.0371487837073354,0.0334707205861856,12.540955404142965,4.914184833430712,1089.6071990662492,San Diego,5.0,26.0,10.0,16.0
94129,22,102,73,1384,189,3,0,48,0,1821,153,8.4,218717.0,20.3,57.3,7.5,1.8,85.4,4199,1903805.12,0.3609,1.0,0.2448830409356725,0.7419590643274854,0.0425373134328358,0.0335794236723029,3.39674046019409,6.42509212824321,1926.605052,San Francisco,3.0,12.0,6.0,6.0
95113,12,97,60,1272,106,0,0,36,0,1583,133,8.4,124625.0,20.8,30.6,39.9,5.9,68.1,2216,756448.31,0.4936,0.835423197492163,0.0,1.0,0.2656739811912226,0.1723826714801444,,,,,58.0,125.0,125.0,0.0
94555,135,1498,355,20657,1659,24,2,554,0,24884,2076,8.34,177333.0,5.8,13.7,74.0,1.5,65.3,38522,1352919.91,0.3753,0.3151561699948796,0.8740150949655802,0.1105581819689806,0.023126813449394,0.0317786150448226,12.81949673343324,3.4161490714400427,2777.0457212854462,Alameda ,0.0,0.0,0.0,0.0
94087,290,2310,576,31746,3006,53,4,874,0,38859,3237,8.33,178128.0,8.2,33.6,51.4,1.2,73.7,59771,2338870.09,0.4561,0.4385692068429238,0.6498836668217776,0.3486272684969753,0.0479685069984447,0.0412851785533295,9.228167113154708,4.144877128918793,1234.273362199942,Santa Clara,7.0,54.0,38.0,16.0
94549,497,1330,515,18623,1654,5,4,587,0,23215,1922,8.28,190250.0,7.6,74.9,10.2,0.4,73.5,28545,1909387.5,0.4745,0.260783537791848,0.8237059264816204,0.1714178544636159,0.0290858725761772,0.0455537562486798,5.222489897714328,3.62532175365996,970.1473271554212,Contra Costa,5.0,10.0,10.0,0.0
94070,391,1590,755,20837,1817,7,1,538,0,25936,2135,8.23,205912.0,9.3,63.4,18.1,0.7,68.0,31477,2156217.7,0.4569,0.2909310136939109,0.7341803481560927,0.2658196518439072,0.0310050813883386,0.0281784528976257,6.0067487741571375,3.216189177238452,975.2090414644712,San Mateo,8.0,33.0,12.0,21.0
95033,353,476,240,6656,584,10,0,215,0,8534,701,8.21,161971.0,5.4,82.7,5.9,0.0,67.1,9767,1381887.42,0.4347,0.1862509992006394,0.975825753949258,0.0136428913355672,0.0082600586197708,0.0262480699948533,4.233515916242869,3.847316602061844,1400.842852235309,Santa Clara,1.0,4.0,4.0,0.0
91604,153,1178,326,17672,1751,17,3,582,0,21682,1777,8.2,124271.0,11.3,70.7,7.7,3.7,66.5,32680,1593906.64,0.5161,0.5331010452961672,0.4570985860933566,0.5419329846988186,0.0572125435540069,0.0633376567228707,18.69573680230512,6.1646198390578695,1980.9483668875785,Los Angeles,12.0,159.0,159.0,0.0
